fecha,muestreo,idplot,zona,x,y,tipoplot,observadores,positiva,heces,huellas,hozadas,suphozadam2,habitat,cobsd,anysign_tot,anysign_yn,hozadas_yn,huellas_yn,heces_yn,id,soiltype_rev
2/2/2021,FEB 21,S05,SUR,"375706,6875",6471989,PRIMARIA,GN - BH - VL ,1,0,0,2,"0,273999989032745",SIOSEL_ARBUSTAL,20,2,1,1,0,0,S05,7
14/2/2020,FEB 20,S06,SUR,"375316,6875",6471644,PRIMARIA,AdM-GR,0,0,0,0,0,SIOSEL_ARBUSTAL,10,0,0,0,0,0,S06,3
8/8/2022,AGO 22,S06,SUR,"375316,6875",6471644,PRIMARIA,RD-SRV-NM,0,0,0,0,0,SIOSEL_ARBUSTAL,10,0,0,0,0,0,S06,3
12/8/2021,AGO 21,S06,SUR,"375316,6875",6471644,PRIMARIA,GN-CS-NM,1,5,1,1,0,SIOSEL_ARBUSTAL,5,7,1,1,1,1,S06,7
15/2/2022,FEB 22,S06,SUR,"375316,6875",6471644,PRIMARIA,GN-NP,0,0,0,0,0,SIOSEL_ARBUSTAL,0,0,0,0,0,0,S06,7
2/2/2021,FEB 21,S06,SUR,"375316,6875",6471644,PRIMARIA,AT - BD - NM,0,0,0,0,0,SIOSEL_ARBUSTAL,10,0,0,0,0,0,S06,7
11/2/2020,FEB 20,S07,SUR,"375916,6875",6471539,PRIMARIA,AdM-PAF-GR-RG-GN-AF-SS,1,0,0,1,"0,448000013828278",SIOSEL_PAJONAL,10,1,1,1,0,0,S07,3
8/8/2022,AGO 22,S07,SUR,"375916,6875",6471539,PRIMARIA,AT-SM,1,0,12,11,"0,0860000029206276",SIOSEL_PAJONAL,10,23,1,1,1,0,S07,3
5/2/2021,FEB 21,S07,SUR,"375916,6875",6471539,PRIMARIA,AdM - AT - GN - BH - RD,1,0,23,17,"5,8769998550415",SIOSEL_PAJONAL,5,40,1,1,1,0,S07,3
12/8/2021,AGO 21,S07,SUR,"375916,6875",6471539,PRIMARIA,AdM-AT,1,0,14,21,"1,42999994754791",SIOSEL_PAJONAL,30,35,1,1,1,0,S07,3
16/2/2022,FEB 22,S07,SUR,"375916,6875",6471539,PRIMARIA,NM-NP-GN,0,0,0,0,0,SIOSEL_PAJONAL,80,0,0,0,0,0,S07,7
10/2/2020,FEB 20,S07A,SUR,"375916,6875",6471554,SECUNDARIA,GN-AF-SS,0,0,0,0,0,SIOSEL_PAJONAL,1,0,0,0,0,0,S07A,1
10/2/2020,FEB 20,S07B,SUR,"375931,6875",6471539,SECUNDARIA,GN-AF-SS,0,0,0,0,0,SIOSEL_PAJONAL,1,0,0,0,0,0,S07B,1
10/2/2020,FEB 20,S07C,SUR,"375916,6875",6471524,SECUNDARIA,GN-AF-SS,1,0,0,2,"0,837000012397766",SIOSEL_PASTIZAL,0,2,1,1,0,0,S07C,5
11/2/2020,FEB 20,S07D,SUR,"375901,6875",6471539,SECUNDARIA,AdM-PAF-GR,1,0,1,4,"1,82700002193451",BOSQUE_SUELODESNUDO,85,5,1,1,1,0,S07D,5
11/2/2020,FEB 20,S07E,SUR,"375901,6875",6471554,SECUNDARIA,AdM-PAF-GR,1,0,1,2,"1,01300001144409",BOSQUE_PASTIZAL,5,3,1,1,1,0,S07E,5
11/2/2020,FEB 20,S07F,SUR,"375901,6875",6471524,SECUNDARIA,AdM-PAF-GR,1,0,0,1,"0,896000027656555",BOSQUE_SUELODESNUDO,15,1,1,1,0,0,S07F,5
11/2/2020,FEB 20,S07G,SUR,"375886,6875",6471539,SECUNDARIA,AdM-PAF-GR,0,0,0,0,0,BOSQUE_PASTIZAL,5,0,0,0,0,0,S07G,5
